sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	rep	pseudorep	MMPRNT_ID	plant	treatment	time_zone	longitude	latitude	altitude	location	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	itemID_JGI	sampleID_JGI	barcode	JGI_library	HPCC_path	JGI_taxonOID	JGI_rawdataname	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year	X	X.1	X.2	X.3
179	3	G5R3_MAIN_05JUN2017	5	6	2017	12:50	Sunny	20.2	NA	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_05JUN2017	6	2017-12-07	6.5	73	17	103	960	138	2.3	2.3	10.2	10.17	19.9	G5R3_MAIN_05JUN2017	211	2.8257	44.7051	15.8209	80.01	0.687	G5R3_MAIN_05JUN2017_LR1	11/11/17	RNA	1	phyllosphere	3.84	Benzyl Chloride	50	14.34	1.75	186.7	KL Grady	G5R3_MAIN_05JUN2017_LR1_MT		14.3	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192760					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
180	4	G5R4_MAIN_05JUN2017	5	6	2017	13:29	Cloudy	18.2	NA	G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_05JUN2017	6	2017-12-07	6.5	74	26	146	765	165	2.2	2.2	9.2	7.4	21	G5R4_MAIN_05JUN2017	221	2.6476	44.4585	16.792	76.71	0.853	G5R4_MAIN_05JUN2017_LR1	11/11/17	RNA	1	phyllosphere	4.67	Benzyl Chloride	50	75.22	2.09	805.4	KL Grady	G5R4_MAIN_05JUN2017_LR1_MT		18.1	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192761					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
181	6	G5R1_NF_05JUN2017	5	6	2017	11:23	Partly cloudy	15.8	NA	G5R1_NF	1	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_NF_05JUN2017	6	2017-12-07	6.4	73	16	70	1127	145	2.1	0.5	8.4	8.51	19.6	G5R1_NF_05JUN2017	219	2.1869	44.2515	20.2348	80.01	0.531	G5R1_NF_05JUN2017_LR1	11/11/17	RNA	1	phyllosphere	3.24	Benzyl Chloride	50	44.1	2.07	680.6	KL Grady	G5R1_NF_05JUN2017_LR1_MT		17.6	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192762					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
182	7	G5R2_NF_05JUN2017	5	6	2017	11:59	Sunny and clear	17.8	NA	G5R2_NF	2	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_NF_05JUN2017	6	2017-12-07	6.3	74	16	97	785	131	2.1	0.3	10.1	8.38	19.4	G5R2_NF_05JUN2017	229	1.8721	44.464	23.7509	73.91	0.497	G5R2_NF_05JUN2017_LR1	11/11/17	RNA	1	phyllosphere	4.14	Benzyl Chloride	50	7.04	1.79	85	KL Grady	G5R2_NF_05JUN2017_LR1_MT		7	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192763					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
183	8	G5R3_NF_05JUN2017	5	6	2017	12:55	Sunny	20.7	NA	G5R3_NF	3	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_NF_05JUN2017	6	2017-12-07	6.3	72	18	108	903	124	2.4	0.6	12.2	10.32	19	G5R3_NF_05JUN2017	215	2.0058	46.0588	22.9628	74.93	0.545	G5R3_NF_05JUN2017_LR1	11/6/17	RNA	1	phyllosphere	4.94	Benzyl Chloride	50	3.92	1.83	39.7	KL Grady	G5R3_NF_05JUN2017_LR1_MT		3.9	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192764					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
184	9	G5R4_NF_05JUN2017	5	6	2017	13:17	 Cloudy	22.2	NA	G5R4_NF	4	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_NF_05JUN2017	6	2017-12-07	6.5	75	23	109	794	136	2.2	0.6	9.5	7.83	21.6	G5R4_NF_05JUN2017	218	2.3402	44.5572	19.0399	68.58	0.567	G5R4_NF_05JUN2017_LR1	11/6/17	RNA	1	phyllosphere	4.98	Benzyl Chloride	50	2.25	1.44	22.6	KL Grady	G5R4_NF_05JUN2017_LR1_MT		2.3	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192765					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
185	1	G5R1_MAIN_26JUN2017	26	6	2017	11:20	Partly cloudy	18.5	NA	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_26JUN2017	6	2017-12-07	6.4	72	109	124	837	123	2.5	2	9.5	8.17	19	G5R1_MAIN_26JUN2017	281	2.001	45.0126	22.4951	119.38	0.875	G5R1_MAIN_26JUN2017_LR1	11/13/17	RNA	1	phyllosphere	5.36	Benzyl Chloride	50	5.79	1.64	54	KL Grady	G5R1_MAIN_26JUN2017_LR1_MT		5.8	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192766					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
186	2	G5R2_MAIN_26JUN2017	26	6	2017	12:30	Partly cloudy	16.4	NA	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_26JUN2017	6	2017-12-07	6.2	74	21	97	765	123	2.2	0.6	8.8	6.63	19.7	G5R2_MAIN_26JUN2017	259	1.8459	44.8059	24.2732	116.84	0.62	G5R2_MAIN_26JUN2017_LR1	11/22/17	RNA	1	phyllosphere	5	Benzyl Chloride	50	72.85	2.1	728.5	KL Grady	G5R2_MAIN_26JUN2017_LR1_MT		17.5	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192767					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
187	3	G5R3_MAIN_26JUN2017	26	6	2017	13:11	Partly cloudy	16.5	NA	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_26JUN2017	6	2017-12-07	6.4	72	14	97	976	133	2.4	0.5	8.3	7.98	18.9	G5R3_MAIN_26JUN2017	285	2.029	45.3476	22.3497	120.65	0.87	G5R3_MAIN_26JUN2017_LR1	11/22/17	RNA	1	phyllosphere	5	Benzyl Chloride	50	22.18	2.14	221.8	KL Grady	G5R3_MAIN_26JUN2017_LR1_MT		16	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192768					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
188	4	G5R4_MAIN_26JUN2017	26	6	2017	13:45	Partly cloudy	23.5	NA	G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_26JUN2017	6	2017-12-07	6.4	74	31	157	816	157	2.2	8.8	9.5	6.44	20.6	G5R4_MAIN_26JUN2017	282	2.0039	44.684	22.2985	105.41	0.872	G5R4_MAIN_26JUN2017_LR1	11/13/17	RNA	1	phyllosphere	6.9	Benzyl Chloride	50	20.13	2.2	145.9	KL Grady	G5R4_MAIN_26JUN2017_LR1_MT		16.1	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192769					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
189	6	G5R1_NF_26JUN2017	26	6	2017	11:40	Partly cloudy	20.4	NA	G5R1_NF	1	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_NF_26JUN2017	6	2017-12-07	6.5	73	22	102	940	152	2.3	0.6	10.8	10.48	19.3	G5R1_NF_26JUN2017	291	1.615	44.8145	27.7489	115.57	0.645	G5R1_NF_26JUN2017_LR1	11/22/17	RNA	1	phyllosphere	5	Benzyl Chloride	50	16.31	1.91	163.1	KL Grady	G5R1_NF_26JUN2017_LR1_MT		16.3	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192770					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
190	7	G5R2_NF_26JUN2017	26	6	2017	12:38	Partly cloudy	22.3	NA	G5R2_NF	2	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_NF_26JUN2017	6	2017-12-07	6.4	74	18	103	848	132	2.2	0.5	8.2	8.85	21.4	G5R2_NF_26JUN2017	299	1.4449	45.0547	31.1819	97.79	0.585	G5R2_NF_26JUN2017_LR1	11/22/17	RNA	1	phyllosphere	5	Benzyl Chloride	50	3.28	1.67	32.8	KL Grady	G5R2_NF_26JUN2017_LR1_MT		3.3	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192771					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
191	8	G5R3_NF_26JUN2017	26	6	2017	13:20	Partly cloudy	16.4	NA	G5R3_NF	3	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_NF_26JUN2017	6	2017-12-07	6.3	72	18	149	965	145	2.5	1	11.3	11.06	20.1	G5R3_NF_26JUN2017	289	1.5432	45.0481	29.1914	119.38	0.545	G5R3_NF_26JUN2017_LR1	11/13/17	RNA	1	phyllosphere	5.42	Benzyl Chloride	50	14.95	1.94	137.9	KL Grady	G5R3_NF_26JUN2017_LR1_MT		15	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192772					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
192	9	G5R4_NF_26JUN2017	26	6	2017	13:54	Partly cloudy	22.6	NA	G5R4_NF	4	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_NF_26JUN2017	6	2017-12-07	6.5	74	25	117	773	130	2.2	0.9	9	9.13	22.6	G5R4_NF_26JUN2017	293	1.5428	45.3614	29.402	101.6	0.542	G5R4_NF_26JUN2017_LR1	11/22/17	RNA	1	phyllosphere	5	Benzyl Chloride	50	36.46	1.98	364.6	KL Grady	G5R4_NF_26JUN2017_LR1_MT		14.6	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192773					NA	2017-06-26	1498449600	26.06.17	0	15.6	20.1	11.4	984	68.05	1.16	3.71	268.9	262.06	363.28	21.3	20.1	2017	NA	NA	NA	NA
193	1	G5R1_MAIN_17JUL2017	17	7	2017	11:10	Sunny and partly cloudy	26.4	Tassels emerging	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_17JUL2017	6	2017-12-07	6.7	75	22	60	806	103	2.1	2	8.7	9.5	21.1	G5R1_MAIN_17JUL2017	330	1.582	45.2977	28.6332	121.92	0.757	G5R1_MAIN_17JUL2017_LR1	11/16/17	RNA	1	phyllosphere	4.47	Benzyl Chloride	50	18.57	1.93	207.7	KL Grady	G5R1_MAIN_17JUL2017_LR1_MT		14.9	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192774					NA	2017-07-17	1500264000	17.07.17	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89	26.1	23.2	2017	NA	NA	NA	NA
194	2	G5R2_MAIN_17JUL2017	17	7	2017	11:43	Sunny and partly cloudy	26.7	Tassels emerging	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_17JUL2017	6	2017-12-07	6.3	73	11	47	747	96	1.9	1	6.9	10.06	22	G5R2_MAIN_17JUL2017	313	1.5174	45.2177	29.7995	119.38	0.675	G5R2_MAIN_17JUL2017_LR1	11/16/17	RNA	1	phyllosphere	4.81	Benzyl Chloride	50	2.16	2.18	22.5	KL Grady	G5R2_MAIN_17JUL2017_LR1_MT		2.2	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192775					NA	2017-07-17	1500264000	17.07.17	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89	26.1	23.2	2017	NA	NA	NA	NA
195	3	G5R3_MAIN_17JUL2017	17	7	2017	12:50	Sunny and partly cloudy	28.1	Tassels emerging	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_17JUL2017	6	2017-12-07	6.7	75	10	57	926	108	2.2	1.4	7.8	10.45	21.9	G5R3_MAIN_17JUL2017	305	1.5826	45.2786	28.6103	121.92	0.652	G5R3_MAIN_17JUL2017_LR1	11/16/17	RNA	1	phyllosphere	4.04	Benzyl Chloride	50	38.52	1.94	476.7	KL Grady	G5R3_MAIN_17JUL2017_LR1_MT		15.4	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192776					NA	2017-07-17	1500264000	17.07.17	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89	26.1	23.2	2017	NA	NA	NA	NA
196	4	G5R4_MAIN_17JUL2017	17	7	2017	13:28	Sunny and partly cloudy	27.5		G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_17JUL2017	6	2017-12-07	6.2	72	22	74	788	137	2	0.5	7.5	9.4	22.8	G5R4_MAIN_17JUL2017	295	1.8456	45.6237	24.7203	124.46	0.869	G5R4_MAIN_17JUL2017_LR1	11/16/17	RNA	1	phyllosphere	4.63	Benzyl Chloride	50	14.12	1.87	152.5	KL Grady	G5R4_MAIN_17JUL2017_LR1_MT		14.1	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192777					NA	2017-07-17	1500264000	17.07.17	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89	26.1	23.2	2017	NA	NA	NA	NA
197	6	G5R1_NF_17JUL2017	17	7	2017	11:14	Sunny and partly cloudy	26.4	Tassels emerging	G5R1_NF	1	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_NF_17JUL2017	6	2017-12-07	6.7	75	16	52	753	101	1.9	0.3	9	12.5	21.1	G5R1_NF_17JUL2017	332	1.2639	45.0732	35.662	106.68	0.662	G5R1_NF_17JUL2017_LR1	11/16/17	RNA	1	phyllosphere	3.56	Benzyl Chloride	50	42.45	1.91	596.2	KL Grady	G5R1_NF_17JUL2017_LR1_MT		17	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192778					NA	2017-07-17	1500264000	17.07.17	0	20.3	28.8	14.6	984	78.32	1.74	1.68	130.9	285.22	407.89	26.1	23.2	2017	NA	NA	NA	NA
