sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	rep	pseudorep	MMPRNT_ID	plant	treatment	time_zone	longitude	latitude	altitude	location	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	itemID_JGI	sampleID_JGI	barcode	JGI_library	HPCC_path	JGI_taxonOID	JGI_rawdataname	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year	X	X.1	X.2	X.3
76	4	G5R4_MAIN_12JUL2016	12	7	2016	13:45	38.7 C sunny, windy	33.1	shows signs of infection	G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_12JUL2016	6	2017-03-18	6.5	71	38	122	726	119	2.6	7.4	6.8	4.8	29.5	G5R4_MAIN_12JUL2016	336	1.0099	33.8473	33.52	162.56	1.051	G5R4_MAIN_12JUL2016_LR1	5/9/17	RNA	1	phyllosphere	10.51	Benzyl Chloride 	30	246.79	2	704.4	KL Grady	G5R4_MAIN_12JUL2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016	NA	NA	NA	NA
77	6	G5R1_NF_12JUL2016	12	7	2016	11:15	38.7 C sunny, windy	38.7	NA	G5R1_NF	1	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_NF_12JUL2016	6	2017-03-18	6.5	71	31	85	905	129	2.7	1.6	2.5	6.4	24	G5R1_NF_12JUL2016	338	1.2056	44.8801	37.23	162.56	3.556	G5R1_NF_12JUL2016_LR1	5/9/17	RNA	1	phyllosphere	7.94	Benzyl Chloride 	30	65.2	2.10	246.3	KL Grady	G5R1_NF_12JUL2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016	NA	NA	NA	NA
78	7	G5R2_NF_12JUL2016	12	7	2016	11:53	38.7 C sunny, windy	31.5	NA	G5R2_NF	2	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_NF_12JUL2016	6	2017-03-18	6.8		23	80	850	117	3	1.2	3.8	4.8	24.7	G5R2_NF_12JUL2016	349	1.2687	45.3309	35.73	162.56	3.746	G5R2_NF_12JUL2016_LR1	5/9/17	RNA	1	phyllosphere	8.67	Benzyl Chloride 	30	36.46	1.70	126.2	KL Grady	G5R2_NF_12JUL2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016	NA	NA	NA	NA
80	9	G5R4_NF_12JUL2016	12	7	2016	13:40	38.7 C sunny, windy	38.4	shows signs of infection	G5R4_NF	4	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_NF_12JUL2016	6	2017-03-18	7		38	124	997	119	2.7	1.3	3.1	4	31.2	G5R4_NF_12JUL2016	363	1.0679	45.2878	42.41	162.56	3.888	G5R4_NF_12JUL2016_LR3	7/14/17	RNA	3	phyllosphere	9.31	Benzyl Chloride 	35	249.94	2.17	939.6	KL Grady	G5R4_NF_12JUL2016_LR3_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-07-12	1468296000	12.07.16	5	25	32.8	21.7	796	74.61	2.32	3.7	185.6	276.05	375.37	27.9	24.2	2016	NA	NA	NA	NA
121	1	G5R1_MAIN_12SEP2016	12	9	2016	11:42	23C, sunny, light breeze	24.9	NA	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_12SEP2016	6	2017-03-18	6.6	72	23	52	712	84	2	3.9	4.9	13	18.8	G5R1_MAIN_12SEP2016	361	1.7153	46.2099	26.94	185.42	0.56	G5R1_MAIN_12SEP2016_LR1	1/17/17	RNA	1	phyllosphere	10.62	Benzyl Chloride 	30	101.9	2.11	287.9	KL Grady	G5R1_MAIN_12SEP2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	Y	G5R1_MAIN_12SEP2016_LR1_MT_pilot	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
122	2	G5R2_MAIN_12SEP2016	12	9	2016	13:14	23C, sunny, light breeze	23.7	NA	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_12SEP2016	6	2017-03-18	6.3	71	15	38	810	80	1.6	1.9	3.8	13.3	20.3	G5R2_MAIN_12SEP2016	391	1.7624	45.9969	26.1	185.42	0.544	G5R2_MAIN_12SEP2016_LR1	6/6/17	RNA	1	phyllosphere	6.97	Benzyl Chloride 	30	35.38	2.11	152.3	KL Grady	G5R2_MAIN_12SEP2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
123	3	G5R3_MAIN_12SEP2016	12	9	2016	13:45	23C, sunny, light breeze	19.5	NA	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_12SEP2016	6	2017-03-18	7.1		11	47	1177	114	1.9	2.4	3.2	14.9	22.4	G5R3_MAIN_12SEP2016	359	1.6376	46.6662	28.5	185.42	0.73	G5R3_MAIN_12SEP2016_LR2	6/29/17	RNA	2	phyllosphere	7.86	Benzyl Chloride 	35	140.94	2.17	627.6	KL Grady	G5R3_MAIN_12SEP2016_LR2_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
124	4	G5R4_MAIN_12SEP2016	12	9	2016	14:34	23C, sunny, light breeze	26.5	NA	G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_12SEP2016	6	2017-03-18	6.1	72	23	107	964	133	2	4.6	3.3	12.8	21.5	G5R4_MAIN_12SEP2016	375	1.8523	46.1482	24.91	185.42	0.554	G5R4_MAIN_12SEP2016_LR1	6/6/17	RNA	1	phyllosphere	4.47	Benzyl Chloride 	30	76.69	2.06	514.7	KL Grady	G5R4_MAIN_12SEP2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
125	6	G5R1_NF_12SEP2016	12	9	2016	11:42	23C, sunny, light breeze	24.9	NA	G5R1_NF	1	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_NF_12SEP2016	6	2017-03-18	7.2		18	46	942	110	2	2.9	4.1	13.6	18.8	G5R1_NF_12SEP2016	351	1.2826	46.1437	35.98	185.42	2.076	G5R1_NF_12SEP2016_LR2	6/29/17	RNA	2	phyllosphere	5.11	Benzyl Chloride 	35	63.54	2.18	435.2	KL Grady	G5R1_NF_12SEP2016_LR2_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
126	7	G5R2_NF_12SEP2016	12	9	2016	13:14	23C, sunny, light breeze	23.7	NA	G5R2_NF	2	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_NF_12SEP2016	6	2017-03-18	6.5	72	12	37	927	91	1.6	0.7	4.2	13	20.3	G5R2_NF_12SEP2016	374	1.6047	46.5152	28.99	185.42	2.763	G5R2_NF_12SEP2016_LR2	6/29/17	RNA	2	phyllosphere	5.79	Benzyl Chloride 	35	90.92	2.17	549.6	KL Grady	G5R2_NF_12SEP2016_LR2_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
127	8	G5R3_NF_12SEP2016	12	9	2016	13:45	23C, sunny, light breeze	19.5	NA	G5R3_NF	3	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_NF_12SEP2016	6	2017-03-18	7		14	50	1002	98	2.2	2.5	4.7	15.1	22.4	G5R3_NF_12SEP2016	363	1.7101	46.41	27.14	185.42	2.253	G5R3_NF_12SEP2016_LR2	6/29/17	RNA	2	phyllosphere	6.06	Benzyl Chloride 	35	75.53	2.22	436.2	KL Grady	G5R3_NF_12SEP2016_LR2_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
128	9	G5R4_NF_12SEP2016	12	9	2016	14:34	23C, sunny, light breeze	26.5	NA	G5R4_NF	4	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_NF_12SEP2016	6	2017-03-18	6.2	72	22	76	905	126	1.8	1.5	5.3	13.6	21.5	G5R4_NF_12SEP2016	378	1.6329	46.2148	28.3	185.42	3.201	G5R4_NF_12SEP2016_LR1	6/14/17	RNA	1	phyllosphere	6.15	Benzyl Chloride 	30	78.46	1.71	382.7	KL Grady	G5R4_NF_12SEP2016_LR1_MT		40	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	0			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2016-09-12	1473652800	12.09.16	0	17	24.7	9.8	987	75.98	1.42	1.92	164.7	234.47	303.5	19.6	19.4	2016	NA	NA	NA	NA
169	1	G5R1_MAIN_15MAY2017	15	5	2017	11:16	Very sunny	22.4	NA	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_15MAY2017	6	2017-12-07	6.3	72	22	94	805	119	2	3.5	16.5	9.41	17.3	G5R1_MAIN_15MAY2017	212	3.0992	44.03	14.2069	24.13	0.206	G5R1_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	562.48	2.19	5076.5	KL Grady	G5R1_MAIN_15MAY2017_LR1_MT		45	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192750			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
170	2	G5R2_MAIN_15MAY2017	15	5	2017	12:46	Very sunny	25.5	NA	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_15MAY2017	6	2017-12-07	6.3	75	15	104	825	138	2.1	5.9	30.4	8.75	19.2	G5R2_MAIN_15MAY2017	243	3.045	44.7364	14.6918	22.86	0.168	G5R2_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	103.69	2.15	935.8	KL Grady	G5R2_MAIN_15MAY2017_LR1_MT		16.6	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192751			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
171	3	G5R3_MAIN_15MAY2017	15	5	2017	13:37	Very sunny	23.9	NA	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_15MAY2017	6	2017-12-07	6.4	72	12	117	1034	150	2.2	16.4	16.5	14.18	17.6	G5R3_MAIN_15MAY2017	244	3.024	44.3274	14.6585	24.13	0.214	G5R3_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	176.54	2.12	1593.3	KL Grady	G5R3_MAIN_15MAY2017_LR1_MT		28.2	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192752			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
172	4	G5R4_MAIN_15MAY2017	15	5	2017	14:23	Very sunny	22.8	NA	G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_15MAY2017	6	2017-12-07	6.5	74	27	198	1037	188	2.3	4.7	13.9	12.98	21.1	G5R4_MAIN_15MAY2017	236	3.2527	44.0536	13.5437	25.4	0.185	G5R4_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	63.54	2.1	573.5	KL Grady	G5R4_MAIN_15MAY2017_LR1_MT		15.2	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192753			/mnt/research/ShadeLab/Sequence/raw_sequence/GLBRC/metatranscriptomes		NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
